State,Name,Subname,Stats 55% 100%,HP 55%,HP 100%,ATK 55%,ATK 100%,DEF 55%,DEF 100%,Leader Skill,Passive Name,Passive Skill,Active Name,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date,Ki Multiplier,DMG Multiplier
Base,Anilaza,Ultimate Colossal Fighter of Universe 3,"HP 18,950 21,950 | ATK 13,576 16,976 | DEF 9,105 11,705","18,950","21,950","13,576","16,976","9,105","11,705","""Super Bosses"" Category Ki +3 and HP, ATK & DEF +130%",Trump Card of Universe 3,"Activates the Entrance Animation (once only) and Ki +3, ATK & DEF +130% and foresees enemy's Super Attack for 3 turns from the character's entry turn when there is another ""Final Trump Card"" or ""Super Bosses"" Category ally on the team upon the character's entry, Ki +3 and ATK & DEF +130%, Plus an additional Ki +3 and reduces damage received by 30% when HP is 30% or more at start of turn, Randomly changes Ki Spheres of a certain Type (STR excluded) to STR Ki Spheres, Launches an additional attack that has a high chance of becoming a Super Attack with 3 or more STR Ki Spheres obtained, Launches an additional Super Attack with 5 or more STR Ki Spheres obtained, Plus an additional ATK & DEF +130% and reduces damage received by 30% as the 1st attacker in a turn, Plus an additional ATK & DEF +30% when performing a Super Attack, high chance of launching an additional Super Attack and attacks effective against all Types as the 2nd or 3rd attacker in a turn",Majestic Halation,"Can be activated when there is a ""Tournament Participants"" Category enemy starting from the 3rd turn from the character's entry turn, or starting from the 5th turn from the character's entry turn (once only) Causes ultimate damage to enemy; Ki +24 and ATK & DEF +30% for 1 turn",Greatly raises DEF for 1 turn and causes colossal damage to enemy,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy; raises Extreme Class allies' DEF by 30% for 1 turn,"Mechanical Menaces, Infighter, Big Bad Bosses, Tough as Nails, Fused Fighter, Legendary Power, Tournament of Power","Universe Survival Saga, Fused Fighters, Final Trump Card, Super Bosses, Tournament Participants",,"Nov 29, 2024",200%,570%
Base,Majin Buu (Ultimate Gohan),Application of Skills and Intelligence,"HP 15,365 17,965 | ATK 13,098 16,498 | DEF 8,570 11,570","15,365","17,965","13,098","16,498","8,570","11,570","""Power Absorption"" or ""Transformation Boost"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Artificial Life Forms"" or ""Uncontrollable Power"" Category",Power Merged with Buu,"Ki +2 and ATK & DEF +200%, Guards all attacks, Plus an additional ATK & DEF +58% when attacking, Plus an additional ATK & DEF +100% and high chance of performing a critical hit for 6 turns from the start of battle, High chance of evading enemy's attack (including Super Attack) and launches an additional attack that has a great chance of becoming a Super Attack starting from the 7th turn from the start of battle, Plus an additional ATK & chance of performing a critical hit +50% and Extreme Class allies' Ki +2 and ATK & DEF +50% when there is another ""Power Absorption"" or ""Transformation Boost"" Category ally attacking in the same turn, The more HP remaining when the character receives an attack for the 1st time in a turn, the greater the additional DEF boost received within the turn (up to 150%)",Body Absorption,"Can be activated when all allies attacking in the same turn are ""Power Absorption"" Category characters, or starting from the 6th turn from the start of battle (once only) Creates the Domain ""Inside Majin Buu"" and transfers the character's consciousness inward for 3 turns",Greatly raises ATK & DEF for 1 turn and causes immense damage to enemy,,"Majin, Big Bad Bosses, Metamorphosis, Shocking Speed, Fear and Faith, The Wall Standing Tall, Fierce Battle","Majin Buu Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Uncontrollable Power, Demonic Power, Final Trump Card, Sworn Enemies, Worldwide Chaos","Can be activated when all allies attacking in the same turn are ""Power Absorption"" Category characters, or starting from the 6th turn from the start of battle (once only)","Nov 29, 2024",150%,505%
Base,Frieza (Final Form)/Cooler (Final Form),Glorious Clan,"HP 8,746 10,786 | ATK 9,175 10,975 | DEF 5,264 6,824","8,746","10,786","9,175","10,975","5,264","6,824","""Wicked Bloodline"" Category Ki +3 and HP, ATK & DEF +50%",I'm the Strongest in the Universe,"Ki +2 and ATK & DEF +150%, Plus an additional ATK +25% with each turn passed (up to 100%), Reduces damage received by 20% when HP is 50% or more, Plus an additional ATK +50% and medium chance of performing a critical hit when HP is 80% or less, Plus an additional ATK & DEF +150% when performing a Super Attack and if there is another ""Wicked Bloodline"" Category ally attacking in the same turn, plus an additional ATK & DEF +100% and reduces damage received by 20%, Plus an additional Ki +2 and chance of performing a critical hit +50% when all allies attacking in the same turn are Extreme Class",Exchange,"Can be activated starting from the 5th turn from the character's entry turn, or when HP is 50% or less (once only) Exchanges with another character","Greatly raises ATK, greatly raises DEF for 1 turn and causes supreme damage to enemy",,"Big Bad Bosses, Universeâ€™s Most Malevolent, Strongest Clan in Space, Nightmare, Thirst for Conquest, Shocking Speed, Shattering the Limit","Wicked Bloodline, Transformation Boost, Sworn Enemies, Gifted Warriors, Space-Traveling Warriors, Time Travelers, Terrifying Conquerors, Inhuman Deeds, Planetary Destruction","Can be activated starting from the 5th turn from the character's entry turn, or when HP is 50% or less (once only)","Nov 19, 2024",140%,380%
Base,Super Saiyan God SS Goku (Universe Tree Power),Darkness-Purging Universe Tree Power,"HP 10,654 13,654 | ATK 11,331 14,731 | DEF 6,782 9,382","10,654","13,654","11,331","14,731","6,782","9,382","""Dragon Ball Heroes"", ""Kamehameha"" or ""Power Beyond Super Saiyan"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Crossover"" Category",The Possibilities of This Universe,"Activates the Entrance Animation upon the character's entry (once only) and DEF +200% and launches an additional Super Attack for 4 turns from the character's entry turn, Ki +2 and ATK & DEF +150%, Plus an additional ATK +150% when attacking, Plus an additional DEF +40% with each attack performed (up to 200%), Launches an additional attack that has a great chance of becoming a Super Attack and randomly changes Ki Spheres of a certain Type (STR excluded) to STR Ki Spheres when there are 3 or more ""Crossover"" Category allies or an ally whose name includes ""Xeno"" on the team, Plus an additional ATK +50% for the rest of battle and great chance of guarding all attacks within the same turn with 3 or more Ki Spheres obtained, Plus an additional ATK +100% for the rest of battle and guards all attacks within the same turn with 5 or more Ki Spheres obtained, Plus an additional ATK +150% for the rest of battle with 7 or more Ki Spheres obtained, Plus an additional damage reduction of 40% when guard is activated",Unyielding Fused Kamehameha,"Can be activated when there is an ally whose name includes ""Xeno"" attacking in the same turn, or starting from the 5th turn from the start of battle (once only) Massively raises ATK temporarily and causes ultimate damage to enemy; DEF +30% and all attacks become critical hits for 1 turn","Raises ATK & DEF for 1 turn, causes immense damage to enemy and medium chance of performing a critical hit for 1 turn",,"Super Saiyan, Kamehameha, Shocking Speed, Warrior Gods, Godly Power, Prepared for Battle, Fierce Battle","Pure Saiyans, Goku's Family, Power Beyond Super Saiyan, Kamehameha, Realm of Gods, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Time Travelers, Accelerated Battle, Crossover, Dragon Ball Heroes",,"Nov 12, 2024",150%,505%
Base,Lord Slug,Terrifying Super Namekian,"HP 14,205 17,205 | ATK 13,156 16,556 | DEF 9,078 11,678","14,205","17,205","13,156","16,556","9,078","11,678","""Demonic Power"", ""Inhuman Deeds"" or ""Movie Bosses"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Terrifying Conquerors"" or ""Space-Traveling Warriors"" Category",Slug the Super Namekian,"Activates the Entrance Animation (once only), ATK +200% and reduces damage received by 33% for the rest of battle and creates the Domain ""Earth Shrouded in Clouds"" for 3 turns from the character's entry turn when there are another 3 or more ""Demonic Power"" Category allies on the team upon the character's entry, Ki +2, ATK & DEF +200% and reduces damage received by 33%, Launches an additional attack that has a great chance of becoming a Super Attack, Plus an additional ATK & DEF +50% with each attack performed (up to 200%), Foresees enemy's Super Attack within the character's attacking turn starting from the turn in which the character receives the 5th attack in battle, Recovers 6% HP when HP is 66% or less at the end of turn, Recovers 10% HP at the end of the character's attacking turn and all allies' Ki +2 while the Domain ""Earth Shrouded in Clouds"" is active",Darkness Blaster,"Can be activated when HP is 60% or less, or starting from the 4th turn from the start of battle (once only) Massively raises ATK temporarily and causes ultimate damage to enemy",Raises ATK & DEF for 1 turn and causes immense damage with a great chance of stunning the enemy,,"Demonic Ways, Metamorphosis, Namekians, Big Bad Bosses, Thirst for Conquest, Nightmare, Fierce Battle","Namekians, Power of Wishes, Demonic Power, Movie Bosses, Space-Traveling Warriors, Dragon Ball Seekers, Terrifying Conquerors, Inhuman Deeds",,"Oct 31, 2024",150%,505%
Base,Master Roshi,Next-Generation-Guiding Turtle School,"HP 12,610 15,610 | ATK 13,736 17,136 | DEF 9,150 11,750","12,610","15,610","13,736","17,136","9,150","11,750","Peppy Gals Category Ki +3 and HP, ATK & DEF +200%; ""Turtle School"" or ""DB Saga"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Bond of Master and Disciple"" or ""Kamehameha"" Category (Peppy Gals Category characters excluded)",Vigorous Hermit,"Activates the Entrance Animation upon the character's entry (once only) and reduces damage received by 30% for 7 turns from the character's entry turn, ATK & DEF +150%, Plus an additional ATK & DEF +150% and launches an additional Super Attack when performing a Super Attack, Ki +3 and reduces damage received by 20% if there are another 2 or more ""Turtle School"" Category allies on the team, Plus an additional ATK & DEF +82% per ""Peppy Gals"" Category ally attacking in the same turn, Plus an additional ATK +82% and high chance of performing a critical hit when there is an ally whose name includes ""Bulma"" attacking in the same turn, ""Turtle School"" or ""Peppy Gals"" Category allies' Ki +2 and ATK & DEF +50% (self excluded)",Turtle School's Teachings,"Can be activated when HP is 70% or less starting from the 3rd turn from the start of battle, or starting from the 5th turn from the start of battle (once only) Recovers 50% HP and, for 1 turn, all allies' Ki +3 and ATK & DEF +30%",Raises ATK & DEF for 1 turn and causes immense damage to enemy,,"Turtle School, Infighter, Supreme Warrior, Kamehameha, World Tournament Champion, The Incredible Adventure, Fierce Battle","DB Saga, Earthlings, Kamehameha, Full Power, Bond of Master and Disciple, Turtle School, Earth-Bred Fighters, Battle of Wits",,"Oct 22, 2024",150%,475%
Base,Videl,Ally of Love and Friendship,"HP 24,140 27,140 | ATK 13,429 16,829 | DEF 12,919 15,519","24,140","27,140","13,429","16,829","12,919","15,519","""Defenders of Justice"" or ""Peppy Gals"" Category Ki +4 and HP, ATK & DEF +180%",Magnificent Performance,"Ki +2 and ATK & DEF +180%, Great chance of evading enemy's attack (including Super Attack) before attacking, Plus an additional ATK +158% when attacking, Performs a critical hit and all allies' Ki +2 within the same turn after evading an attack, Plus an additional ATK & DEF +58% and launches an additional attack that has a great chance of becoming a Super Attack within the same turn after receiving an attack, Attacks effective against all Types and launches an additional Super Attack as the 1st or 2nd attacker in a turn, ATK & DEF +158% and great chance of evading enemy's attack (including Super Attack) as the 3rd attacker in a turn, Plus an additional ATK & DEF +30% (up to 58%) with each attack evaded (including Super Attack)",Complicated Female Psyche,"Can be activated when there is an ally whose name includes ""Gohan (Teen)"", ""Ultimate Gohan"" (Majin Buu excluded) or ""Great Saiyaman"" (Great Saiyaman other than Gohan excluded) on the team starting from the 4th turn from the start of battle (once only) ATK +20% and DEF -20% in battle","Raises ATK, greatly raises DEF for 1 turn and causes immense damage to enemy",,"Courage, Money Money Money, Cold Judgment, Infighter, Champion's Strength, Battlefield Diva, Fierce Battle","Majin Buu Saga, Earthlings, Peppy Gals, Bond of Parent and Child, Earth-Bred Fighters, Defenders of Justice",,"Oct 22, 2024",150%,580%
Base,Gohan (Kid)/Piccolo,Tide-Turning Super Power,"HP 21,875 24,475 | ATK 17,105 20,505 | DEF 10,806 13,806","21,875","24,475","17,105","20,505","10,806","13,806","""Planet Namek Saga"" or ""Bond of Master and Disciple"" Category Ki +4 and HP, ATK & DEF +150%",Deadly Showdown on Planet Namek,"ATK & DEF +200%, Plus an additional ATK +150% when performing a Super Attack, Ki +3, reduces damage received by 30%, chance of performing a critical hit +30% and launches an additional attack that has a high chance of becoming a Super Attack for 3 turns from the character's entry turn, Ki +3, reduces damage received by 30% and chance of performing a critical hit +30% as the 1st attacker in a turn, Ki +3, reduces damage received by 20% and chance of performing a critical hit +20% when there is another ""Planet Namek Saga"" or ""Namekians"" Category ally attacking in the same turn, Recovers 20% HP at the end of turn",Exchange,"Can be activated when HP is 70% or less starting from the 4th turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Exchanges with another character",Raises ATK & DEF and causes colossal damage to enemy,Massively raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy,"Saiyan Warrior Race, All in the Family, Gaze of Respect, Shocking Speed, Demonic Ways, Fierce Battle, Legendary Power","Planet Namek Saga, Hybrid Saiyans, Goku's Family, Youth, Demonic Power, Rapid Growth, Bond of Parent and Child, Bond of Master and Disciple, Earth-Bred Fighters, Dragon Ball Seekers, Saviors, Connected Hope, Entrusted Will","Can be activated when HP is 70% or less starting from the 4th turn from the start of battle, or starting from the 6th turn from the start of battle (once only)","Oct 16, 2024",200%,570%
Base,Legendary Super Saiyan Broly,Super Warrior Who Destroys All,"HP 18,900 21,900 | ATK 16,850 19,850 | DEF 12,613 15,613","18,900","21,900","16,850","19,850","12,613","15,613","""Uncontrollable Power"", ""Revenge"" or ""Planetary Destruction"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Movie Bosses"", ""Transformation Boost"" or ""Pure Saiyans"" Category",Undying Devil,"Activates the Entrance Animation upon the character's entry (once only) and Extreme Class allies' DEF +40% for 4 turns from the character's entry turn, ATK & DEF +260% and reduces damage received by 60%, Plus an additional ATK +100% when attacking, Plus an additional Ki +2 and recovers 2% HP per Type Ki Sphere obtained, While the Domain ""Molten Lava of Natade Village"" is active, randomly changes Ki Spheres of a certain Type (INT & STR excluded) to STR Ki Spheres at start of character's attacking turn and guards all attacks, Attacks effective against all Types for the rest of battle when the character performs an attack while the Domain ""Molten Lava of Natade Village"" is active, Starting from the 5th turn from the character's entry turn, revives with 60% HP recovered when the character or an ally attacking in the same turn is KO'd (once only), Plus an additional DEF +60% when receiving an attack after the character's or an ally's Revival Skill is activated, Changes PHY Ki Spheres to INT Ki Spheres and ""Uncontrollable Power"" Category allies' ATK & DEF +60% at start of character's attacking turn starting from the turn in which the character's Revival Skill is activated",Earth-Crushing Arm,"Can be activated when there is a ""Goku's Family"" Category enemy, or when all allies attacking in the same turn are ""Uncontrollable Power"" Category characters (once only) Massively raises ATK temporarily and causes ultimate damage to enemy; creates the Domain ""Molten Lava of Natade Village"" for 3 turns",Massively raises ATK & DEF for 1 turn with a high chance of further raising DEF for 1 turn and causes colossal damage with a high chance of stunning the enemy,Massively raises ATK & DEF for 1 turn with a high chance of further massively raising ATK for 1 turn and causes mega-colossal damage with a great chance of stunning the enemy,"Saiyan Warrior Race, Prepared for Battle, Shocking Speed, Super Saiyan, Berserker, Fierce Battle, Legendary Power","Pure Saiyans, Power Beyond Super Saiyan, Transformation Boost, Full Power, Uncontrollable Power, Powerful Comeback, Movie Bosses, Resurrected Warriors, Legendary Existence, Revenge, Target: Goku, Inhuman Deeds, Planetary Destruction, Exploding Rage",,"Sep 13, 2024",200%,425%
Base,Legendary Super Saiyan Broly,Instinctive Destruction,"HP 18,534 21,534 | ATK 17,945 20,945 | DEF 10,117 13,117","18,534","21,534","17,945","20,945","10,117","13,117","""Planetary Destruction"" or ""Movie Bosses"" Category Ki +3 and HP, ATK & DEF +170%",Fiendish Destruction,"Ki +3 and ATK & DEF +260%, Reduces damage received by 26% and chance of performing a critical hit +26%, Launches an additional attack that has a high chance of becoming a Super Attack, Plus an additional ATK & DEF +26% when attacking, Plus an additional Ki +3 and launches an additional attack that has a great chance of becoming a Super Attack, plus an additional damage reduction of 18% and chance of performing a critical hit +18% when attacking, if there is a ""Pure Saiyans"", ""Hybrid Saiyans"" or ""Movie Heroes"" Category enemy, Launches an additional Super Attack, plus an additional damage reduction of 15% and chance of performing a critical hit +15% when attacking, if there is an enemy whose name includes ""Goku"" (Captain Ginyu, Jr., etc. excluded)",Berserker's Destructive Impulse,"Can be activated after performing 4 or more Super Attacks in battle (once only) Ki +6, ATK +60% and attacks effective against all Types for 1 turn","Greatly raises ATK, raises DEF and causes immense damage to enemy",,"Saiyan Warrior Race, Super Saiyan, The Saiyan Lineage, Berserker, Prepared for Battle, Hardened Grudge, Fierce Battle","Pure Saiyans, Power Beyond Super Saiyan, Full Power, Uncontrollable Power, Movie Bosses, Legendary Existence, Target: Goku, Inhuman Deeds, Planetary Destruction, Exploding Rage",,"Sep 3, 2024",150%,455%
